DATA,JANELA_15MIN,VALOR_TOTAL_15M
2025-10-23,2025-10-23 14:30:00.000,13906.79
2025-10-23,2025-10-23 14:45:00.000,9556.89
2025-10-23,2025-10-23 15:00:00.000,14085.06
2025-10-23,2025-10-23 15:15:00.000,9797.12
2025-10-23,2025-10-23 15:30:00.000,18525.28
2025-10-23,2025-10-23 15:45:00.000,13052.47
2025-10-23,2025-10-23 16:00:00.000,14650.69
2025-10-23,2025-10-23 16:15:00.000,10313.69
2025-10-23,2025-10-23 16:30:00.000,8125.45
2025-10-23,2025-10-23 16:45:00.000,13119.13
2025-10-23,2025-10-23 17:00:00.000,29760.93
2025-10-23,2025-10-23 17:15:00.000,23148.66
2025-10-23,2025-10-23 17:30:00.000,19310.85
2025-10-23,2025-10-23 17:45:00.000,21391.23
2025-10-23,2025-10-23 18:00:00.000,20136.15
2025-10-23,2025-10-23 18:15:00.000,23798.72
2025-10-23,2025-10-23 18:30:00.000,18474.86
2025-10-23,2025-10-23 18:45:00.000,16943.56
2025-10-23,2025-10-23 19:00:00.000,15318.55
2025-10-23,2025-10-23 19:15:00.000,12186.96
2025-10-23,2025-10-23 19:30:00.000,24899.16
2025-10-23,2025-10-23 19:45:00.000,17799.9
2025-10-23,2025-10-23 20:00:00.000,14979.6
2025-10-23,2025-10-23 20:15:00.000,12219.58
2025-10-23,2025-10-23 20:30:00.000,6526.1
2025-10-23,2025-10-23 20:45:00.000,15350.85
2025-10-23,2025-10-23 21:00:00.000,7471.48
2025-10-23,2025-10-23 21:15:00.000,8205.7
2025-10-23,2025-10-23 21:30:00.000,4801.9
2025-10-23,2025-10-23 21:45:00.000,17311.94
2025-10-23,2025-10-23 22:00:00.000,6221.73
2025-10-23,2025-10-23 22:15:00.000,2824.38
2025-10-23,2025-10-23 22:30:00.000,2050.59
2025-10-23,2025-10-23 22:45:00.000,2030.95
2025-10-23,2025-10-23 23:00:00.000,4578.26
2025-10-23,2025-10-23 23:15:00.000,1997.58
2025-10-23,2025-10-23 23:30:00.000,202.94
2025-10-23,2025-10-23 23:45:00.000,1926.11
2025-10-24,2025-10-24 00:00:00.000,192.84
2025-10-24,2025-10-24 00:15:00.000,571.31
2025-10-24,2025-10-24 00:30:00.000,267.1
2025-10-24,2025-10-24 01:00:00.000,61.46
2025-10-24,2025-10-24 01:15:00.000,4.99
2025-10-24,2025-10-24 01:30:00.000,190.94
2025-10-24,2025-10-24 03:30:00.000,577.18
2025-10-24,2025-10-24 05:15:00.000,12.06
2025-10-24,2025-10-24 06:15:00.000,19.5
2025-10-24,2025-10-24 06:30:00.000,102.77
2025-10-24,2025-10-24 06:45:00.000,2147.09
2025-10-24,2025-10-24 07:00:00.000,5246.15
2025-10-24,2025-10-24 07:15:00.000,4421.23
2025-10-24,2025-10-24 07:30:00.000,5950.37
2025-10-24,2025-10-24 07:45:00.000,6287.68
2025-10-24,2025-10-24 08:00:00.000,3422.78
2025-10-24,2025-10-24 08:15:00.000,10092.79
2025-10-24,2025-10-24 08:30:00.000,7592.86
2025-10-24,2025-10-24 08:45:00.000,8377.86
2025-10-24,2025-10-24 09:00:00.000,9716.06
2025-10-24,2025-10-24 09:15:00.000,13445.88
2025-10-24,2025-10-24 09:30:00.000,9822.4
2025-10-24,2025-10-24 09:45:00.000,11866.83
2025-10-24,2025-10-24 10:00:00.000,12795.02
2025-10-24,2025-10-24 10:15:00.000,14115.13
2025-10-24,2025-10-24 10:30:00.000,17651.92
2025-10-24,2025-10-24 10:45:00.000,15012.58
2025-10-24,2025-10-24 11:00:00.000,12660.07
2025-10-24,2025-10-24 11:15:00.000,16121.23
2025-10-24,2025-10-24 11:30:00.000,12760.91
2025-10-24,2025-10-24 11:45:00.000,11706.71
2025-10-24,2025-10-24 12:00:00.000,10867.97
2025-10-24,2025-10-24 12:15:00.000,18803.19
2025-10-24,2025-10-24 12:30:00.000,16633.33
2025-10-24,2025-10-24 12:45:00.000,8007.66
2025-10-24,2025-10-24 13:00:00.000,7506.43
2025-10-24,2025-10-24 13:15:00.000,11462.94
2025-10-24,2025-10-24 13:30:00.000,12429.82
2025-10-24,2025-10-24 13:45:00.000,8207.88
2025-10-24,2025-10-24 14:00:00.000,21626.84
2025-10-24,2025-10-24 14:15:00.000,13492.05
2025-10-24,2025-10-24 14:30:00.000,12733.77
2025-10-24,2025-10-24 14:45:00.000,13437.89
2025-10-24,2025-10-24 15:00:00.000,19751.78
2025-10-24,2025-10-24 15:15:00.000,20299.58
2025-10-24,2025-10-24 15:30:00.000,18538.83
